,id,price,addressStreet,addressCity,addressZipcode,beds,baths,area,zestimate,latitude,longitude
244,17882494,799900.0,16600 Porter Ave,Riverside,92504,4,3.0,2004,796900.0,33.87831,-117.35711
245,18027735,1995000.0,760 E Sonora Rd,Palm Springs,92264,4,4.0,2801,1912700.0,33.805187,-116.54006
246,51582406,799000.0,1918 11th St APT D,Santa Monica,90404,2,2.0,923,,34.01438,-118.48042
247,18596002,0.0,3476 Buena Vista Drive,Shingle Springs,95682,4,3.0,2444,,38.67503,-120.96323
248,17990335,1050000.0,25495 Los Rancherias Rd,Hemet,92545,3,2.0,1594,1031100.0,33.751602,-117.04697
249,17192257,899000.0,5249 Cole St,San Diego,92117,3,2.0,1326,892500.0,32.840584,-117.201195
250,17444557,449000.0,15094 Ranchero Rd,Hesperia,92345,4,2.0,1712,,34.38376,-117.33361
251,136710146,305000.0,27823 Sunrise Ln,Santa Clarita,91351,3,2.0,1482,311200.0,34.428062,-118.48173
252,24818193,799000.0,5673 Florence Ter,Oakland,94611,2,2.0,1112,1052400.0,37.83748,-122.21624
253,25898263,565000.0,8356 Marina Greens Way,Sacramento,95826,3,2.0,1326,565300.0,38.559143,-121.39537
254,18918397,715000.0,1850 Verdugo Ln,Bakersfield,93312,4,3.0,2306,713200.0,35.3741,-119.118706
255,19272497,1800000.0,101 Laurel Grove Avenue,Kentfield,94904,3,3.0,2852,2633300.0,37.95648,-122.5419
256,17814808,924999.0,4900 Eclipse Ave,Jurupa Valley,91752,5,3.0,2383,921600.0,33.994274,-117.49716
257,20505369,2390000.0,1512 Glendon Ave,Los Angeles,90024,4,2.0,2193,2372700.0,34.054405,-118.43926
258,15465421,795000.0,844 Wildwood Ave,Daly City,94015,3,1.0,1150,,37.69611,-122.48556
259,15169599,959000.0,219 Lisbon St,San Francisco,94112,5,3.0,2125,,37.724678,-122.43132
260,16894059,999999.0,9903 Lindo Lake Pl,Lakeside,92040,4,4.0,1925,995700.0,32.859818,-116.91515
261,112076682,1350000.0,9981 S River St,Truckee,96161,6,2.0,2340,1308200.0,39.32572,-120.18253
262,15771422,595000.0,1000 Bodega Avenue,Petaluma,94952,2,1.0,1028,595300.0,38.234924,-122.66021
263,20847855,1149941.0,1122 Berkeley Dr,Glendale,91205,2,1.0,1195,1171800.0,34.129177,-118.23957
264,82897891,2560000.0,28964 Quail Run Ct,Lake Arrowhead,92352,5,5.0,4651,,34.243225,-117.17162
265,457076819,80000.0,3524 E Avenue R SPACE 17,Palmdale,93550,2,1.0,720,,34.572067,-118.06673
266,15161901,1159000.0,241 Moultrie St,San Francisco,94110,3,2.0,1460,,37.74111,-122.415596
267,24819016,648000.0,6115 Doncaster Pl,Oakland,94611,2,2.0,677,658800.0,37.839996,-122.21111
268,15207162,299000.0,7891 Placer Rd,Redding,96001,3,2.0,1520,292900.0,40.517887,-122.490265
269,20230052,325000.0,19126 Avenue Of The Oaks UNIT C,Santa Clarita,91321,2,1.0,806,328400.0,34.37336,-118.54004
270,136691313,145000.0,38015 65th St E SPACE A1,Palmdale,93552,3,2.0,896,144100.0,34.5733,-118.014786
271,25367701,700000.0,242 Mountain Ct,Brea,92821,3,2.0,1122,721300.0,33.92913,-117.89227
272,17745237,550000.0,1244 E Andreas Rd,Palm Springs,92262,2,2.0,1595,539300.0,33.825687,-116.53164
273,20448843,1199000.0,12111 Washington Pl,Los Angeles,90066,4,4.0,1105,1198900.0,34.001305,-118.42718
274,119689208,2299000.0,3265 Cypress Mountain Dr,Adelaide,93446,3,3.0,1739,2247700.0,35.576923,-120.90898
275,24813394,1095000.0,15 Somerset Rd,Piedmont,94611,3,2.0,2077,,37.822094,-122.21528
276,122236310,1250000.0,78 N Sierra Bonita Ave #2,Pasadena,91106,5,4.0,2090,1258700.0,34.147465,-118.11669
277,20277462,650000.0,41528 Jacaranda St,Palmdale,93551,5,3.0,2815,648200.0,34.636982,-118.22778
278,15476344,1149000.0,672 Claridge Dr,Pacifica,94044,5,2.0,1780,1321200.0,37.644875,-122.47074
279,17296663,648000.0,8252 Malachite Ave,Rancho Cucamonga,91730,3,2.0,1458,657500.0,34.10385,-117.59769
280,347723428,959000.0,1453 Oak Circle,Rohnert Park,94928,5,3.0,2488,952700.0,38.346394,-122.69438
281,18207216,425000.0,27054 Skyview Ct,Pioneer,95666,3,2.0,1880,416300.0,38.460693,-120.52357
282,18475279,950000.0,19 Via Floreado,Orinda,94563,3,2.0,1990,1381300.0,37.897396,-122.175354
283,59725561,919000.0,431 W Bay St UNIT D,Costa Mesa,92627,3,3.0,1247,,33.648495,-117.91746
284,17390085,1399900.0,42848 Eagle Flight Pl,Big Bear Lake,92315,4,4.0,4052,1331600.0,34.25564,-116.868095
285,17941772,679000.0,35639 Aster Dr,Wildomar,92595,5,3.0,2809,680600.0,33.60319,-117.255516
286,457061533,949000.0,142-142 Novel,Irvine,92618,2,3.0,1498,,33.69269,-117.73566
287,59405013,1060000.0,44366 Dorchester Dr,Temecula,92592,5,3.0,3717,1054500.0,33.481503,-117.07217
288,15326778,0.0,2376 E Harding Way,Stockton,95205,3,2.0,1248,336700.0,37.972736,-121.26301
289,15381166,688000.0,409 Ripona Ave,Ripon,95366,4,3.0,2580,677100.0,37.74246,-121.1248
290,20531410,1995000.0,2654 Basil Ln,Los Angeles,90077,3,3.0,2359,2158900.0,34.12,-118.448105
291,20787516,738000.0,927 N Kings Rd APT 212,West Hollywood,90069,2,2.0,1280,,34.088047,-118.37216
292,123517384,949000.0,12018 Millennium Park Ct,Hawthorne,90250,3,3.0,2133,942200.0,33.923306,-118.3182
293,26017518,599000.0,53 Goose Haven Ct,Sacramento,95834,5,3.0,2747,597600.0,38.646114,-121.53284
294,17484044,30000.0,82467 4th St,Trona,93562,3,1.0,1220,,35.751293,-117.39581
295,21468598,1499000.0,1944 Chandos Ln,La Habra Heights,90631,4,2.0,2326,1484500.0,33.95912,-117.955055
296,20128242,589000.0,14500 Van Nuys Blvd UNIT 33,Panorama City,91402,3,3.0,1402,592200.0,34.24626,-118.448425
297,19711924,1800000.0,415 S 14th St,San Jose,95112,3,3.0,1994,,37.33601,-121.87266
298,16297694,335000.0,1363 S State Street,Porterville,93257,3,2.0,1273,334000.0,36.041096,-118.99431
299,19940536,1999000.0,5514 Sylvia Ave,Tarzana,91356,5,5.0,4273,1987700.0,34.171265,-118.55201
300,241641993,738800.0,280 Coolcrest Dr,Oakley,94561,4,3.0,2170,735500.0,37.996117,-121.67854
301,243991471,798000.0,10710 Toluca Ct,North Hollywood,91602,3,4.0,1765,822100.0,34.1493,-118.36406
302,89476605,774900.0,1661 Rio Vista Way,Yuba City,95993,4,3.0,2698,757700.0,39.170376,-121.64566
303,457077205,249000.0,405 300 Stony Point Road,Petaluma,94952,2,2.0,1400,,38.326405,-122.73639
304,2119855040,340000.0,2602 N Tustin Ave UNIT D,Santa Ana,92705,3,2.0,1455,354500.0,33.771973,-117.83716
305,16038322,489000.0,1500 Clovewood Ave,Modesto,95355,3,2.0,1620,484900.0,37.686344,-120.97118
306,443943883,333000.0,1333 Sunflower Cir N,Palm Springs,92262,3,2.0,837,331600.0,33.858276,-116.53215
307,18075564,589000.0,40 Presidio Pl,Palm Desert,92260,3,2.0,1821,579000.0,33.740955,-116.375626
308,18074084,525000.0,41733 Aventine Ct,Palm Desert,92260,2,2.0,1576,506500.0,33.75331,-116.376305
309,16377827,959000.0,2176 Eastridge Loop,Oxnard,93036,4,3.0,2172,958500.0,34.22483,-119.20007
310,24752675,3988888.0,5229 Miles Ave,Oakland,94618,6,7.0,4748,,37.839523,-122.25837
311,21339314,3299000.0,3321 Via La Selva,Palos Verdes Estates,90274,4,3.0,2712,3209300.0,33.803886,-118.37333
312,59893630,685000.0,146 Apache,Topanga,90290,2,2.0,1172,615200.0,34.13795,-118.59771
313,295342530,1150000.0,118 W 8th Ave,Escondido,92025,6,4.0,0,1176800.0,33.11533,-117.07764
314,17111271,699999.0,206 E Emerson St,Chula Vista,91911,3,2.0,1245,717300.0,32.61732,-117.048
315,15732132,549800.0,1032 Wood Hollow Cir,Fairfield,94533,3,2.0,1450,547500.0,38.2756,-122.01564
316,18406020,1200000.0,155 Via Del Sol,Walnut Creek,94597,4,3.0,2578,1188000.0,37.930992,-122.0648
317,24833079,829000.0,1431 Blake St,Berkeley,94702,2,1.0,968,913700.0,37.861343,-122.282295
318,145635112,549900.0,44118 Calle Luz,Temecula,92592,3,3.0,1319,551100.0,33.485706,-117.0977
319,63320326,774900.0,37104 Edgemont Dr,Murrieta,92563,4,3.0,3349,774900.0,33.58182,-117.10522
